text
"Blanche, с самого"
"Я, однако, желал"
Я шел и
Я стал расспрашивать
Я спустился по
"Я смеялся, мне"
Я с удивлением
Я рассказал ей
Я пришел к
"Я принялся объяснять,"
Я поставил опять
Я поставил два
Я повернулся и
Я по возможности
"Я откатил кресла,"
"Я остолбенел, подумал,"
Я опять удивился
"Я объяснил, что"
"Я объяснил ей,"
Я оборотился и
Я обернулся и
Я недели за
Я настиг ее
"Я знаю, она,"
Я запечатал и
"Я занял номер,"
"Я думаю, что"
"Я думаю, с"
"Я доложил, что"
Я долго не
Я добежал в
Я действительно тогда
Я вышел от
Я возразил ему
Я быстро подошел
Я было не
Я был в
Этого странного англичанина
"Это Полина, это"
Шляпу снять велела
"Что я предчувствовал,"
Через пять минут
Часу в седьмом
Француз решительно струсил
Француз начал говорить
У них был
У меня как
Тут она закрыла
Точно молния опалила
Тотчас же я
Только в одиннадцать
"Того точно перевернуло,"
Тогда я ответил
"Собрав все, я"
"Сначала начали, разумеется,"
Сначала вся эта
Сначала бабушка не
Случилось это так:
"Сказав это, она"
"Сказав это, он"
Сволочь действительно играет
Свадьбу сделали без
"С бабушкой, как"
Рукою Полины было
"Ретируясь к дверям,"
"Проходя мимо меня,"
Проиграли и второй
"Признаюсь, я ужасно"
"Придя домой, в"
Появление бабушки у
Поутру в этот
Потапыч продежурил при
Постояв на пороге
Полине ужасно не
Полина поцеловала у
"Полина Александровна настаивала,"
"По расчету Потапыча,"
"По обыкновению своему,"
Опять выигрыш в
Она сделала презрительную
Она посмотрела на
"Она остановилась, едва"
Она не промолвила
Она как будто
Она выставила действительно
Он стал меня
"Он помешался, по"
Он не скоро
"Он замолчал, знаменательно"
"Он задумчиво посмотрел,"
Одна дикая мысль
"О, тот вечер,"
Няня с укоризной
Ну что же
Но Полина уже
Но напрасно было
Но на пятом
Но вдруг в
"Но бабушка очень,"
Нечего было делать
"Не знаю, за"
Наши квартировали в
Наши в отеле
"Началось тем, что"
Наверное не помню
На этот раз
На этот раз
На все это
Мы почти побежали
Мы подкатили к
"Мы обнялись искренно,"
Мучила ли меня
"Мне, впрочем, вовсе"
Мне предложили такой
Мне отвели маленькую
Мистера Астлея я
Мистер Астлей усмехнулся
"Мистер Астлей слушал,"
Мистер Астлей слушал
Мистер Астлей поспешил
Мистер Астлей посмотрел
Мистер Астлей молча
Между тем во
Любопытен мне тоже
"Красная вышла, а"
"Конторщик согласился выйти,"
"Конечно, я избегал"
Ко времени поезда
Кафе был во
"Кажется, у ней"
"Итак, принимаюсь писать"
Истерика ее проходила
"Иногда, впрочем, начинал"
И я выбежал
"И чем далее,"
И вдруг она
"Затем поклонился, надел"
"Завтра, завтра все"
За trente et
За столом французик
За обедом я
Едва только оставил
До воксала было
"Действительно, я нашел"
"Действительно, точно судьба"
"Действительно, все было"
Двадцать пять тысяч
"Генерал пожал плечами,"
Генерал был чрезвычайно
Генерал был так
Генерал был до
Выслушав о моем
Вчерашний день у
"Все это, конечно,"
Все это мелькнуло
Все это было
Все эти соображения
"Впрочем, нечего об"
Вошел он очень
"Воротясь домой, был"
Вопрос мой ему
Возвращаясь пред обедом
"Во всяком случае,"
Весь этот день
Весь этот вечер
Вдруг она бросилась
В эту минуту
В это время
В это время
В руках ее
В одиннадцатом часу
В воксале бабушку
В воксал мы
Было четверть одиннадцатого
Было бесполезно отговаривать
Барон и баронесса
"Бабушку опять подняли,"
Бабушка сначала стала
Бабушка прямо накинулась
Бабушка наблюдала его
Бабушка внимательным и
А между тем
Было так сыро
Из пассажиров были
"Все, как водится,"
В одном из
Если б они
Один из них
Нос его был
Особенно приметна была
Он был тепло
На нем был
Но что годилось
Обладатель плаща с
Глаза его были
Лицо молодого человека
В руках его
На ногах его
Готовность белокурого молодого
"Отвечая, он объявил,"
"Денег что, должно"
"О, как вы"
"Да, господин Павлищев,"
Об заклад готов
"Оказалось, что и"
Узелок ваш всё-таки
"О, вы угадали"
Гм… генерала же
Другой доселе в
Эти господа всезнайки
"Они всё знают,"
Под словом: всё
Большею частию эти
"Люди, о которых"
"Я видал ученых,"
В продолжение всего
Он был как-то
"А позвольте, с"
Князь Лев Николаевич
Так что даже
тотчас же ответил
А что касается
Да вот не
"Белокурый несколько удивился,"
"А представьте, я"
Да ведь и
Да уж это
"Да, тех, тех"
удивился до столбняка
А ты откуда
"перебил черномазый, не"
(мигнул он на
"А это правда,"
"Ни брат подлец,"
раздражительно и злобно
"отозвался князь, с"
"Казалось, что он"
Что же касается
"Рассердился-то он рассердился,"
Про матушку нечего
А она там
"Телеграммы-то она испужалась,"
С покрова парчевого
Да ведь он
"Они всё думают,"
"А что я,"
"Ну, вот так"
"Вы, ваша светлость,"
"Ан, та самая"
"действительно удивился, наконец,"
"Я, ваша светлость,"
Ныне он в
А разве она
спохватился и заторопился
Да вечером в
Офицеры там мало
Это вот всё
Тут он мне
"У нас, у"
Я однако же
На утро покойник
"Билеты-то я продал,"
Что у меня
"Раскрыла, взглянула, усмехнулась:"
Да если и
А обиднее всего
Я и ростом
Смеется: а вот
"Я, правда, хотел"
"кривился чиновник, и"
Князь с любопытством
"Тотчас,  продолжал"
"Это я только,"
Поехал седой к
"Ну, а я"
Хотя Рогожин и
"Может, оттого, что"
"Князь Мышкин привстал,"
"Потому, я вам"
Даже и прежде
Благодарю вас тоже
"Будут, будут, "
"Я ведь… Вы,"
"Ну, коли так,"
А ты ступай
Скоро шумная ватага
Было сыро и
Генерал Епанчин жил
Кроме этого (превосходного)
Кроме этих двух
В старину генерал
Ныне он участвовал
Слыл он человеком
В иных местах
А между тем
"Он, например, имел"
"А между тем,"
Хоть и действительно
В последнем отношении
Общества он был
Но всё было
Да и летами
"Здоровье, цвет лица,"
"Правда, тут уже"
"Да и что,"
Семейство генерала состояло
Женился генерал еще
Но генерал никогда
Генеральша была из
Некто из тогдашних
Он отворил калитку
"За немногими исключениями,"
Еще в очень
"Впоследствии, при богатстве"
В эти последние
"Правда, все три"
Средней было двадцать
Эта младшая была
Но и это
"Известно было, что"
Упоминалось даже о
В обществе они
Никто не мог
"Старшая была музыкантша,"
"Одним словом, про"
Замуж они не
Это тем более
Было уже около
Генерал жил во
Князю отворил ливрейный
"Наконец, на неоднократное"
Этот другой человек
"Подождите в приемной,"
"Если позволите, "
"Лакей, видимо, не"
Я вас не
"Подозрительность этого человека,"
"Уверяю вас, что"
А что я
"Доложить я обязан,"
Вы не по
Подождите секретаря; сам
"Стало быть, если"
с презрительным недоумением
"Нет, здесь вам"
"О, я ведь"
"Впрочем, как вам"
"Первое то, что"
"То-есть, если хотите,"
"Впрочем, если натягивать,"
Я раз обращался
Вам же всё
"Только не могут,"
"Казалось бы, разговор"
А так как
А всё-таки вам
Да вот сидел
"А теперь вам,"
Я посетителя такого
"Князь встал, поспешно"
Хотя князь был
Но с другой
Гаврилу Ардалионыча тоже
Здесь у вас
И прежде ничего
"Человека кладут, и"
Вот когда объявляют
"Народ сбегается, даже"
"Ну вот, я"
Я и не
Что же с
Вот я уж
Князь даже одушевился
Камердинер с сочувствующим
"Вам это смешно,"
"Подумайте: если, например,"
"А ведь главная,"
Вот как голову
"Знаете ли, что"
Убивать за убийство
Убийство по приговору
"Тот, кого убивают"
"Примеры бывали, что"
"А тут, всю"
Приведите и поставьте
"Кто сказал, что"
"Может быть, и"
"Камердинер, хотя и"
"В дверь войдете,"
"Это, Гаврила Ардалионыч,"
Гаврила Ардалионович слушал
Это был очень
"Только улыбка его,"
"Он должно быть,"
Князь объяснил всё
"Не вы ли,"
Только вы бы…
"Говорю, сами не"
Гаврила Ардалионович кивнул
Минуты через две
"Генерал, Иван Федорович"
Дела неотлагательного я
Не желал бы
Для знакомств вообще
"Но ей-богу, кроме"
"Удовольствие, конечно, и"
"Потому что, если"
Я года четыре
В людях хороших
Еще в Берлине
"Очень благодарен-с, "
Да со мной
Судя по вашим
"Я же, признаюсь,"
"Ну, стало быть,"
"Позвольте еще, князь,"
"приподнялся князь, как-то"
"И вот, ей"
"Что ж, может"
Взгляд князя был
"А знаете, князь,"
"О, у меня"
"Я, признаюсь, так"
"Давеча ваш слуга,"
Вот только думаю
"Извините, что я"
Никакого состояния покамест
А деньги теперь
"Дело у меня,"
"О, да вы"
"Нет-с, я думаю,"
Что же касается
"Оказалось, что генерал"
Почему Павлищев интересовался
Остался князь после
Павлищев доверил его
Частые припадки его
"Он рассказал, наконец,"
"По крайней мере,"
И насчет места
Учился же я
Вот в этом
"Дайте мне, я"
У вас же
"Я уверен, что"
"Ганя, дайте князю"
"Не знаю, уж"
"Ну, нет, "
"Гм… А знаешь,"
Афанасию Ивановичу и
"Тут, брат, дело"
Дома всё состоит
"Мать всё, конечно,"
"А я, брат,"
Нина Александровна тоже
Кто в чем
Но ведь это
"То-есть, как это"
"Я, впрочем, тогда"
И однако до
Если сегодня скажется
Князь слышал весь
На портрете была
Она была сфотографирована
Она была несколько
Да; всего только
"Вероятно, одно только"
"Тогда же, после"
"Безобразная страсть, положим,"
"Как вам показалось,"
В Гане что-то
Точно новая и
"Генерал же, который"
"Не знаю, как"
"Очень может быть,"
И однако ж
"Конечно… Пожалуй, а"
"Послушай, Ганя, ты"
"Слушай, Гаврила Ардалионыч,"
"Понимаешь, что я"
Тоцкий решение свое
"И потому, если"
При том же
Он глядел своим
"поддакнул он, резко"
Ты ведь точно
Да тут именно
"Никто вас, Гаврила"
"Я хочу, "
"Генерал погорячился, но"
Он вдруг оборотился
Но он мгновенно
"вскричал генерал, смотря"
На толстом веленевом
"Вот это, "
"Они превосходно подписывались,"
Потом я вот
Я перевел французский
Вот и еще
Это шрифт русский
Так пишется казенная
Каллиграф не допустил
Это недавно меня
"Ну, вот, это"
Росчерк требует необыкновенного
"Вы знаете, князь,"
Да вам прямо
Однако уж половина
Присядьте-ка на минутку;
Местечко в канцелярии
Теперь-с насчет дальнейшего:
"Для вас же,"
"Нина Александровна, маменька"
"Нина Александровна, супруга"
Всё это я
"Плата самая умеренная,"
"Правда, человеку необходимы"
Но так как
"Мы, конечно, сочтемся,"
Если же я
"Видите, я с"
И мамаша будет
Ну да; не
"Благодарю вас, генерал,"
"Ну, нет; я"
"Да и вообще,"
Если уж вы
Я получил уведомление…
Сейчас я скажу
"Если не пожелает,"
"А ты, Ганя,"
Их надо бы
Ганя закурил папиросу
Он был рассеян;
Вдруг он подошел
"ответил князь, "
Об этом глаза
"продолжал Ганя, не"
"Да что же,"
Только что выговорил
Его превосходительство просят
Все три девицы
"Маменька их, генеральша"
"Правда, характер весьма"
"Генеральша, впрочем, и"
По чашке кофею
В половине же
"Кроме чаю, кофею,"
"В то утро,"
Если б он
Подойдя поздороваться с
Дочери подошли с
"Правда, генерал, по"
"Может быть, мы"
Мы уже сказали
"Между прочим, он"
Он даже достиг
Да и предоставленные
"Наконец, уж одно"
Но среди всех
Почти в то
Это был человек
Ему хотелось жениться
Так как с
В тихом и
Бесспорною красавицей в
Но даже сам
"Может быть, несколько"
Будущий муж Аглаи
Сестры даже положили
Родители знали об
Предложение же Тоцкого
Так как и
В ответ на
"Это была девушка,"
Блеска она не
"Взаимно и дружески,"
Даже родители всё
Тут было одно
Этот мудреный и
Рядом с одним
Это был человек
Весь задолжавшийся и
Ободренный и просиявший
На третий день
Этого сюрприза даже
"Сгоревшее имение, с"
Они стали воспитываться
Вскоре осталась одна
"Лет пять спустя,"
В этот раз
Она поселилась в
Ровно чрез четыре
В этом небольшом
Помещица привезла Настю
Около Насти явилась
В доме нашлись
"Однажды случилось, что"
Слух этот оказался
Она вдруг выказала
"Долго не думая,"
"Тот изумился, начал"
Пред ним сидела
"Эта новая женщина,"
"Во-вторых, это был"
Нет: тут хохотало
Эта новая женщина
Так по крайней
Но покамест новая
Это обдумывание продолжалось
"Дело в том,"
Постановка его в
"Себя, свой покой"
"Ни малейшего нарушения,"
"С другой стороны,"
"Тут, очевидно, было"
"Разумеется, с богатством"
"С другой стороны,"
Но всё это
Но тут-то и
"Ничем не дорожа,"
Афанасий Иванович никогда
Если б он
А ведь Настасья
А так как
Решению его помогло
Прежде это была
"Правда, много значит"
Он припоминал впрочем
В последние два
"Тоцкий, который, как"
"Во всяком случае,"
Он решился поселить
"Если не то,"
Прошло уже пять
Положение Афанасия Ивановича
Он боялся 
"Некоторое время, в"
Претензия была бы
Ему показалось возможным
Хуже всего было
На интерес тоже
Афанасий Иванович рискнул
Жила она больше
Знакомств имела мало;
Довольно часто по
В последнее время
В то же
Был знаком один
"Познакомился, наконец, и"
"Такая репутация, ее"
Тут-то и начинается
Когда Тоцкий так
"Он открыл, что"
Первоначально положено было
Оба приехали к
Затем стал говорить
Он тотчас же
Он очень хорошо
Признания эти Гаврила
"Наконец, если только"
"Конечно, ему всех"
"Повторив еще раз,"
Он прибавил в
Афанасий Иванович говорил
Не только не
"Она призналась, что"
Сначала с грустною
Тут она обратилась
Одна мысль о
"Это правда, что"
"Кажется, правда, что"
"Ей, впрочем, нравится"
"Она слышала, что"
"Слышала тоже, что"
"Она слышала, что"
Вообще она ничего
Насчет же семидесяти
Она благодарит Афанасия
"Во всяком случае,"
Она не выйдет
"Во всяком случае,"
"Наконец, если она"
Под-конец она даже
Переговоры однако начались;
Тем временем Настасья
Она допускала однако
Вскоре Ганя узнал
"Впрочем, можно было"
В его душе
Всё это Настасья
Тоцкий до того
Зато самый странный
"Трудно было поверить,"
", соблазнился сам"
На что он
Тоцкому подозревалось по
"Впрочем, известно, что"
"Известно было, что"
Накануне дня рождения
"Правда, Лизавета Прокофьевна"
Генерал выследил это
Вот почему ему
Ему хоть один
Каково же ей
Генерал именно бил
В крайних случаях
Это была рослая
Лоб ее был
Когда-то у ней
"О, на этот"
Совершенный ребенок и
Я ему двадцать
"А вас, mesdames"
"О, они не"
"Я было вас,"
протянула генеральша и
"Ах, друг мой,"
"Я ведь потому,"
"Я даже подумал,"
"Разумеется, maman, если"
И вдобавок дитя
"Ах, maman, перестаньте"
"Но с тем,"
"Напротив, даже очень"
"Вот-с, рекомендую, последний"
"Сейчас пойдут завтракать,"
Да дайте ему
"Да, да, друг"
резко проговорила Лизавета
"Maman,  начала"
"Не мешайте мне,"
"Садитесь вот тут,"
"Генеральша спрашивала нетерпеливо,"
"Игумен Пафнутий, четырнадцатого"
Известен был святою
Когда давеча генерал
"Аглая,  сказала"
"Конечно, maman, "
"Это очень хорошо,"
"Садитесь вот здесь,"
"Может, и салфетку"
"Прежде, когда я"
удивился немного князь:
"Он хорошо говорит,"
"Кушайте, князь, и"
"Князь поблагодарил и,"
"Сочлись роднёй; оказалось,"
Между дедами и
Эта сухая материя
Пойдемте все в
У нас такая
"Ну вот, и"
Я хочу вполне
"Maman, да ведь"
Александра и Аглая
"Князь заметил, что"
Я бы ничего
"Расскажите, как вам"
"Вот-вот,  подхватила"
"Дайте же ему,"
"Этот князь, может"
Когда меня везли
Это было после
Больше двух или
Когда же припадки
Помню: грусть во
Совершенно пробудился я
Осел ужасно поразил
"А впрочем, ничего"
Я стал о
Всё это очень
Это очень дурно
"Я вижу, что"
"А я добрая,"
Я злюсь очень
"Я давеча, пред"
Я еще не
"Поди сюда, Аглая,"
Я опять-таки не
"А князь найдется,"
Да и об
Мне всегда было
вскинулась генеральша; 
"Я чувствовал, как"
Мне всегда тяжело
"Я, вот, сюжета"
Не знаю; я
вскричала Аглая: 
Ничему не могу
Сначала мне было
Ложился спать я
Так что вам
"Сначала, с самого"
"Всё думал, как"
У нас там
Я по ночам
Тоже иногда в
"Вот тут-то, бывало,"
А потом мне
Последнюю похвальную мысль
"Это всё философия,"
"Вы, может, и"
И философия ваша
У ней вся
Так точно и
На счет жизни
У него были
Жизнь его в
А всё знакомство-то
Тут одно обстоятельство
Этот человек был
Минут через двадцать
Мне ужасно хотелось
Он помнил всё
Шагах в двадцати
Троих первых повели
Мой знакомый стоял
Он очень хорошо
Он умирал двадцати
"Потом, когда он"
"Невдалеке была церковь,"
Я бы тогда
Князь вдруг замолчал;
Так… мне припомнилось…
"Всё это похвально,"
"О, нет, он"
"Ну, стало быть,"
"Да, почему-нибудь да"
"И думается, "
А какие однако
"спросил он вдруг,"
"Если сердитесь, то"
"Я, может быть,"
"Коли говорите, что"
строго и привязчиво
Вам покажи смертную
За что ты
"А жаль, князь,"
"Если видели, как"
Мне это вовсе
Там очень не
"Значит, коль находят,"
Мне бы очень
"Нет, я потому,"
А вот что
"Князь  демократ,"
"Давеча, действительно, "
спросила Аделаида: 
с жаром настаивал
Мне очень хочется
О базельской картине
Это ровно за
Тут он взглянул
Мне ужасно бы
"Зияете, тут нужно"
Он жил в
Вошел тюремный пристав
Он со сна
Тут часа три-четыре
"Ведь, подумаешь, как"
"Мне кажется, он"
На эшафот ведет
С ним всё
"Священник, должно быть,"
Внизу лесенки он
Наверно у него
"Мне кажется, если,"
"Вот тут-то, когда"
И как только
Крест он с
И так было
"Напротив, голова ужасно"
"И подумать, что"
"Тут, может быть,"
"И представьте же,"
"Нарисуйте эшафот так,"
"Крест и голова,"
"Это, конечно, не"
"Ну, теперь расскажите,"
"Слушайте,  как"
"К тому же,"
Вы как кончите
"Как это, наконец,"
"Не верьте ей,"
И я их
Вы решительно хотите
"Ну, хорошо, "
Я не был
"Хорошо, я вам"
Вот вы все
Там… там были
Это были дети
Я не то
Их отцы и
Ребенку можно всё
От детей ничего
И как хорошо
"Большие не знают,"
Я потому их
"Впрочем, на меня"
И как он
Через детей душа
Это было такое
Он был отдан
И если бы
Я был такой
Дети надо мной
А я всего
Если бы вы
Мать ее была
"Она была больная,"
Мари была ее
Один проезжий французский
"Она пришла домой,"
Она впрочем и
"Раз, прежде еще,"
Тогда еще ее
"Мать, первая, приняла"
Она первая ее
Мари лежала на
"Когда все набежали,"
Все кругом смотрели
Мать всё это
Ей нужно было
"Мари всё переносила,"
Когда старуха слегла
Тогда Мари совсем
Все точно плевали
"Иногда, очень редко,"
"Наконец, ее отребья"
"Вот тут-то, особенно"
Она попросилась к
"Тогда она сама,"
Так как она
Когда же мать
Мари стояла за
Сошлось много народу
Вот кто была
"И представьте, эта"
Мне захотелось что-нибудь
У меня была
Я долго старался
Тут я ей
Мне очень хотелось
Я это сейчас
"Когда я кончил,"
Вдруг в это
"Они начали свистать,"
"Я слыхал даже,"
Потом я стал
Они иногда останавливались
"Я им рассказал,"
Мало-по-малу мы стали
"Иные, встречаясь с"
"Воображаю, как Мари"
"Они говорили, что"
Скоро и все
Они стали часто
А впоследствии я
Когда потом все
Они не согласны
Я им тотчас
"Я их остановил,"
"Потом все узнали,"
Детям запретили даже
Мари чуть с
"Они ей рассказали,"
Потом забегали ко
По вечерам я
"Мне кажется, для"
Я не разуверял
И до какой
"Представьте себе, они"
Когда я их
Она уж становилась
Она садилась в
Она уже была
Я приходил на
Как я только
Я уже не
Она бывала как
В таком случае
"Когда мы уходили,"
Однажды по-утру она
Дети тотчас же
Два дня ухаживали
"В деревне, кажется,"
Мари всё время
"Старухи отгоняли детей,"
"А та, только"
"Они, попрежнему, приносили"
Через них она
"Они, как птички,"
"Накануне ее смерти,"
Тут детей и
Пастор в церкви
Так как они
С тех пор
Но с этих
Детям решительно запретили
Впоследствии всё это
А Шнейдер много
"Наконец, Шнейдер мне"
Я очень смеялся:
Но одно только
Что бы они
"Когда я, еще"
"Не знаю, но"
Я останавливался и
"Потом же, во"
Я никогда и
"Мне казалось, что"
"Может, моя участь"
Я сидел в
На первый случай
Меня тоже за
Я вхожу и
Когда я в
Мы каждый вечер
Иногда бывало так
Иные забегали ко
Когда я уже
Станция железной дороги
"Они удерживались, чтобы"
"Мы спешили, чтобы"
Когда я сел
И я тоже
Я давеча уже
Я очень хорошо
Не примите только
"У вас, Аделаида"
"Кроме того, что"
Вы подходите спроста
"У вас, Александра"
У вас какой-то
Но про ваше
"И не подумайте,"
"Когда князь замолчал,"
"Что, милостивые государыни,"
"А то, что"
Я еще прежде
Ваш характер я
"Только вы мужчина,"
"Не труните, милые,"
Давеча Гаврила Ардалионович
Настасья Филипповна подарила
"Если ему подарила,"
По средам он
"Сделайте одолжение, князь,"
"Хорош, да уж"
"Да, уж что-то"
"Он, впрочем, хорошо"
"Простоват, да себе"
"Конечно скверно, что"
Гаврила Ардалионович еще
"Должно быть, он"
"Он страшно смутился,"
"Я сказал, что"
Далась же вам
"Послушайте, князь, "
"Князь,  начал"
Я на всякий
Не возьметесь ли
Это не бог
"Но только так,"
"Записка не запечатана,"
"О, я не"
Он уже не
"Князь шел, задумавшись;"
Но не доходя
Ему как бы
Давешнее впечатление почти
Это необыкновенное по
Как будто необъятная
Эта ослепляющая красота
Князь смотрел с
Когда через минуту
Но только что
Гаврила Ардалионович просил
"Аглая остановилась, взяла"
Ни малейшего смущения
Аглая своим взглядом
Они простояли два-три
"Генеральша несколько времени,"
В этом лице…
"Вы, впрочем, может"
"Александра взяла его,"
"вскричала вдруг Аделаида,"
Такая красота 
Аглая взглянула на
Позвать сюда Гаврилу
И это в
"Начинаются браки, не"
"Бог ищет людей,"
"Не усмехайся, Аглая,"
Я вот дура
"не утерпела Аделаида,"
"Во-первых, от ученых"
Посмотрим как-то вы
Он бегло взглянул
"Аглая холодно, пристально,"
настойчиво допрашивала неумолимая
"Прощайте, у вас,"
"Заходи почаще, а"
"И послушайте, милый:"
"Ганя, опрокинутый, потерявшийся,"
Если вы не
"Постойте, князь, "
Она крепко пожала
"Это вы, "
бормотал он скорым
"Уверяю вас, что"
"Вы слышали давеча,"
"Вам лучше знать,"
Но в самую
"Вот, князь, "
"Разговаривая с князем,"
Но покамест князь
В лице Гани
Аглая смотрела на
А я вам
"До свидания, князь…"
Ведь я знаю
Записка была очевидно
Я не имею
Скажите теперь еще
В этом слове
Я не смею
Но после вашего
"Я встречу борьбу,"
Пришлите же мне
Не рассердитесь на
"Заметьте, как наивно"
"Он, впрочем, знает,"
Но у него
"Он хочет, чтоб"
Насчет же прежнего
Но он дерзок
Но довольно; возьмите
Мне давеча сам
"Так берегитесь его,"
Лицо ее было
"Я сейчас, только"
"Да как же,"
Она очутилась у
Только что я
И он снова
"Сама, и поверьте,"
Ганя с минуту
"Я говорю правду,"
Как только я
Что если бы
"тогда она сказала,"
Неизмеримая злоба овладела
Князя он не
Да каким же
Ганя злобно посмотрел
"Послушайте,  суетился"
"О, очень могу,"
Да; по одному
"Потом, как Шнейдер"
"Дальше, по одному"
Вот тут-то я
"Ганя, раз начав"
"Еще немного, и"
Но именно чрез
Я должен вам
Хоть вас и
Мне это очень
У меня есть
"Извините, князь, "
Вы еще почти
"Я ведь понимаю,"
Я с удовольствием…
Ганечкина квартира находилась
Но она предназначалась
Ганя хмурился и
Все эти уступки
С некоторого времени
А между тем
По одной стороне
В этой же
Князю назначили среднюю
Эта семейная половина
"Одним словом, всё"
Никакого там узла
Да кроме этого
"Не ври пустяков,"
"За всем, что"
Можете обедать вместе
Некоторая просьба: сделайте
"К чорту, впрочем…"
"Уверяю же вас,"
Еще и то
"Фу, какая скверная"
Во всех отношениях
Заглянул Птицын и
Только что князь
Это был господин
Лицо у него
Он сначала отворил
Просунувшаяся голова секунд
"Наконец, затворил за"
"Фердыщенко,  проговорил"
"Жилец,  проговорил"
"проговорил гость, взъерошив"
Князь вынул двадцатипятирублевый
"Тот развернул, поглядел,"
"Довольно странно, "
Эти двадцатипятирублевые иногда
Я пришел вас
Ко мне постарайтесь
"Ну, так увидите"
"Князь узнал потом,"
На некоторых он
В дверях ему
Новый господин был
Фигура была бы
Одет он был
Вблизи от него
Господин приблизился к
"Слышу, повторяют знакомое"
"Сын моего друга,"
Вместе учились; я
Ваша матушка… Генерал
Да и она
Из-за нее мы
Я страстно влюблен
"К чему свидетели,"
"Зарядили, растянул, платок,"
"Да, на некоторое"
"Князь, мамаша вас"
Князь привстал было
Брак двусмысленной женщины
Я вас предупреждаю
Но вы сын
"Вообрази, друг мой,"
Нина Александровна укорительно
Князь отправился за
Нина Александровна тотчас
"Генерал, может быть,"
"вскричал он, обращаясь"
"Но, друг мой,"
Отец; но он
Вы были еще
Я благословлял на
"О, это по"
"Дело даже, можно"
Рядовой Колпаков совершает
"Князь,  и"
Колпаков идет в
"Так или этак,"
Но ровно через
"Если всё кончено,"
"Ганя был удивлен,"
Нина Александровна заметила
Всё мое желание
"Разумеется, я отвечаю"
О ком бы
Я ничего за
"Сегодня вечером, у"
Мы чуть не
"Теперь, когда уже"
Необыкновенная раздражительность послышалась
Вы сказали: не
"Оставим лучше; право,"
Я уж так
Ганя разгорячался с
Такие разговоры тотчас
"Я сказала, что"
"Мне ведь наплевать,"
В голосе Гани
Князь обернулся было
Несколько минут спустя
Он прошел чрез
Проходя близко мимо
"Князь снял запор,"
Глаза ее сверкнули
Шуба действительно лежала
Князь хотел было
Князь воротился и
"В первое мгновение,"
Он вошел в
Подле Вари стоял
Варя и сама
В таких случаях
"Этот маневр, как"
В эту-то самую
Общее молчание воцарилось;
"Приезд Настасьи Филипповны,"
"Уж одно то,"
Ганя хоть отчасти
"Во всяком случае,"
"Визит ее, теперь,"
"Недоумение, с которым"
Наконец-то удалось войти…
"Познакомьте же меня,"
"Настасья Филипповна, впрочем,"
Ганя обмер; упрашивать
Ганя ужасно покраснел
"Мы впрочем, только-что…"
Прошло несколько мгновений
Тут был и
И не глядите
"Казалось, вся злоба"
Произошло всеобщее волнение:
"Она не садилась,"
Но Ганя спохватился
"Вообразите, а я"
"Очевидно, князя представляли"
"Скажите, почему же"
И позвольте вас
Да и я
И еще по
Князь проговорил свои
Настасья Филипповна смотрела
В эту самую
Перед Настасьей Филипповной
Он был во
"Еще одно непредвиденное,"
В эту самую
"Он иногда, дразня"
"Может быть, он"
В эти два
"Десять минут назад,"
И вот генерал
Сдружиться с его
"Но по тому,"
Он уселся прямо
"Наружность его, кроме"
Ему случалось бывать
С этого же
"Настасья Филипповна, казалось,"
Дети девятнадцатого века
"Отпустите, пожалуста, Ардалиона"
Я даю вам
"Ардалион Александрович, говорят,"
вскрикнула Настасья Филипповна
Генерал как раз
Настасья Филипповна не
Она тотчас же
И у бедного
С Иваном Федоровичем
"Я, он и"
"Но увы, один"
"Они здесь, в"
Во всех других
Но с нашим
"О, глупая история,"
Глупая история и
"Курить не запрещается,"
"Вдруг, перед самым"
"То-есть, я и"
Болонка у светло-голубой
"Замечаю только, что"
"Если бы сказали,"
А то молчат…
Женщина дикая; дикая
Не говоря ни
"Усмехнулся и Птицын,"
"Ну, вот тут-то"
"Генерал опустил глаза,"
Я только один
Но тут сам
"А известно, в"
Все княжны в
"Ну, конечно, ездил"
спросила вдруг Настасья
Это случилось на
"Генерал покраснел ужасно,"
Про Ганю и
"Уверяю же вас,"
Одна и та
"Но заметьте, "
"Папенька, я вас"
В это самое
В прихожей стало
Несколько голосов говорило
Все переглянулись; Ганя
Сомневаться князю было
Ганя стоял как
Компания была чрезвычайно
"Некоторые входили так,"
"Совсем пьяных, впрочем,"
"Все, казалось, нуждались"
Даже и Рогожин
Остальные же составляли
"Кроме Лебедева, тут"
Какой-то в полувоенном
С лестницы заглядывали
"повторил Рогожин, дойдя"
Но в эту
"Очевидно, у него"
проговорил он тихо
"проскрежетал он вдруг,"
Машинально подвигался он
